question,reference_answer,reference_context,conversation_history,metadata
What types are available?,"Arcadia Home Care offers a full range of home health care services including personal hygiene and assistance with activities of daily living, medication assistance and recording, shopping, meal planning and preparation, companionship, assistance with errands and appointments, housekeeping, reminiscence therapy, cognitive stimulation, behavioural management, restorative care, palliative care, foot care and geriatric case management.","Document 68: question: What is the service description? (Arcadia Home Care)
answer: Home care for seniors - offers full range of home health care services to meet the needs of families coping with alzheimer's, acquired brain injury and related dementia  Services - personal hygiene and assistance with activities of daily living, medication assistance and recording, shopping, meal planning and preparation, companionship, assistance with errands and appointments, housekeeping, reminiscence therapy, cognitive stimulation, behavioural management, restorative care, palliative care, foot care and geriatric case management Fees: Set fee","[{'role': 'user', 'content': 'I am interested in the types of services offered by Arcadia Home Care for seniors.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 68, 'topic': 'Community Health and Social Services'}"
What are they?,Mon-Fri 9am-4:30pm,"Document 12: question: What are the service hours? (Amplifon - Cobourg)
answer: Mon-Fri 9am-4:30pm Public Contacts: Ashley Beatty - Client Care Coordinator Ashely Lewis - Client Care Coordinator","[{'role': 'user', 'content': 'I need to know the service hours for Amplifon in Cobourg.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 12, 'topic': 'Community Health and Social Services'}"
What are those?,All ages,"Document 10: question: What are the eligibility criteria? (Amplifon - Cobourg)
answer: All ages","[{'role': 'user', 'content': 'I need to know the eligibility criteria for Amplifon in Cobourg.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 10, 'topic': 'Community Health and Social Services'}"
What is it?,416-482-8255,"Document 75: question: What are the contact details? (ARCH Disability Law Centre)
answer: 416-482-8255","[{'role': 'user', 'content': 'I need the contact number for ARCH Disability Law Centre.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 75, 'topic': 'Community Health and Social Services'}"
What is it?,levseniorliving.com/applewoodrr/,"Document 65: question: What is the website URL? (Applewood Retirement Residence)
answer: levseniorliving.com/applewoodrr/ Address: 1500 Lansdowne St W Peterborough, ON K9J 2A2 Map 1500 Lansdowne St W Peterborough, ON K9J 2A2 Map Intersection: Lansdowne and Kawartha Heights Blvd Accessibility:     Wheelchair Accessible Accessibility Notes: Wheelchair ramp on the west side of the building * ground level access at east side entrance Hours: Service Sun 24 hours Mon 24 hours Tue 24 hours Open Wed 24 hours Thu 24 hours Fri 24 hours Sat 24 hours Service Sun 24 hours Mon 24 hours Tue 24 hours Open Wed 24 hours Thu 24 hours Fri 24 hours Sat 24 hours Executives: Paul Humphreys - Executive Director","[{'role': 'user', 'content': 'I am looking for the website URL for Applewood Retirement Residence.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 65, 'topic': 'Community Health and Social Services'}"
What are those requirements?,all ages,"Document 31: question: What are the eligibility criteria? (Anovity Professional Home Healthcare)
answer: all ages","[{'role': 'user', 'content': 'I need to know the eligibility criteria for Anovity Professional Home Healthcare.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 31, 'topic': 'Community Health and Social Services'}"
What is the name of this entity?,Ask4Care Support Services,"Document 112: question: What is the organization name? (Ask4Care Support Services)
answer: Ask4Care Support Services","[{'role': 'user', 'content': 'I am looking for the name of the organization that provides healthcare and community services for seniors.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 112, 'topic': 'Community Health and Social Services'}"
What is supported there?,English,"Document 57: question: What languages are supported? (Appletree Medical Centre - Scarborough)
answer: English Area Served: Scarborough and area Scarborough and area This information was last completely updated on October 12, 2023 URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=50069 ","[{'role': 'user', 'content': 'I am interested in the language supported at Appletree Medical Centre in Scarborough.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 57, 'topic': 'Community Health and Social Services'}"
What are they?,Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm,"Document 118: question: What is the website URL? (Ask4Care Support Services)
answer: www.Ask4care.com Address: c/o Mustafa Yacoob 365A Wilson Ave, Suite 205 Toronto, ON M3H 1T3 Map c/o Mustafa Yacoob 365A Wilson Ave, Suite 205 Toronto, ON M3H 1T3 Map Intersection: Bathurst St and Wilson Ave Location: Toronto (Clanton Park) Accessibility:     Not Wheelchair Accessible Hours: Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm  Service: Daily 24 hours Administration Mon 9am-5pm Tue 9am-5pm Wed 9am-5pm Thu 9am-5pm Fri 9am-5pm","[{'role': 'user', 'content': 'I need to know the administration hours for Ask4Care Support Services.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 118, 'topic': 'Community Health and Social Services'}"
What is it?,www.aphasia.ca,"Document 51: question: What is the website URL? (Aphasia Institute - Pat Arato Aphasia Centre (The))
answer: www.aphasia.ca Address: 73 Scarsdale Rd Toronto, ON M3B 2R2 Map 73 Scarsdale Rd Toronto, ON M3B 2R2 Map Intersection: Leslie St and York Mills Rd Location: Toronto (Banbury—Don Mills) Accessibility:     Wheelchair Accessible Hours: Administration Mon 8:30am-4pm Tue 8:30am-4pm Wed 8:30am-4pm Thu 8:30am-4pm Fri 8:30am-4pm  (administrative/program staff working remotely at times, so building is not open every day. Appointments are required.) Administration Mon 8:30am-4pm Tue 8:30am-4pm Wed 8:30am-4pm Thu 8:30am-4pm Fri 8:30am-4pm","[{'role': 'user', 'content': 'I need the website URL for the Aphasia Institute - Pat Arato Aphasia Centre.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 51, 'topic': 'Community Health and Social Services'}"
What are those?,"English, Arabic, Chinese (Cantonese), Chinese (Mandarin), Dutch, German, Hindi, Italian, Korean, Polish, Portuguese, Russian, Spanish.","Document 117: question: What languages are supported? (Ask4Care Support Services)
answer: English * Arabic * Chinese (Cantonese) * Chinese (Mandarin) * Dutch * German * Hindi * Italian * Korean * Polish * Portuguese * Russian * Spanish Language Notes: Support services can be offered in a variety of other languages Area Served: Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region Angus, Stroud, Innisfil, Toronto, Peel Region, and York Region This information was last completely updated on November 22, 2023 © 2024, Central Local Health Integration Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=143828 ","[{'role': 'user', 'content': 'I am interested in the languages supported by Ask4Care Support Services.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 117, 'topic': 'Community Health and Social Services'}"
What is it?,Toronto and area,"Document 50: question: What languages are supported? (Aphasia Institute - Pat Arato Aphasia Centre (The))
answer: English Area Served: Toronto and area Toronto and area This information was last completely updated on April 5, 2024 © 2024, Central Local Health Integration Network URL: https://www.centraleasthealthline.ca/displayservice.aspx?id=153865 ","[{'role': 'user', 'content': 'I am interested in the area served by the Pat Arato Aphasia Centre.'}, {'role': 'assistant', 'content': 'How can I help you with that?'}]","{'question_type': 'conversational', 'seed_document_id': 50, 'topic': 'Community Health and Social Services'}"
